Group Number,Subhalo ID,Snapshot,Mass,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,Subhalo ID at Snap,Subfind ID at snapp
19826,832334,90,4.777885913848877,27324.7890625,39434.42578125,53760.87109375,-251.842041015625,348.1896057128906,-58.194522857666016,13755207,740428
19826,832334,89,4.697407245635986,27381.005859375,39358.3359375,53774.31640625,-251.74026489257812,341.772705078125,-60.214256286621094,13755208,738909
19826,832334,88,4.67464017868042,27437.83203125,39282.24609375,53788.63671875,-250.97805786132812,335.4739685058594,-62.08035659790039,13755209,731958
19826,832334,87,4.639165878295898,27479.666015625,39225.88671875,53800.26171875,-250.38304138183594,330.9678955078125,-63.399139404296875,13755210,727777
19826,832334,86,4.582513332366943,27535.388671875,39152.73046875,53815.25390625,-248.6918182373047,325.06829833984375,-65.5150375366211,13755211,722945
19826,832334,85,4.546509742736816,27548.740234375,39135.01171875,53818.15234375,-248.36099243164062,323.22869873046875,-66.06388092041016,13755212,721520
19826,832334,84,4.491445541381836,27604.626953125,39063.16796875,53834.28515625,-246.71966552734375,317.29571533203125,-67.75337219238281,13755213,719705
19826,832334,83,4.466031074523926,27658.283203125,38992.421875,53848.94921875,-244.80210876464844,311.6597900390625,-69.1278076171875,13755214,714851
19826,832334,82,4.471325874328613,27712.591796875,38923.75,53865.0234375,-242.46142578125,305.97308349609375,-70.54341125488281,13755215,707378
19826,832334,81,4.562393665313721,27764.5625,38856.64453125,53880.7734375,-239.7685546875,300.2337646484375,-71.845458984375,13755216,694615
19826,832334,80,4.333135604858398,27830.8828125,38775.0,53899.62890625,-236.8898468017578,292.5218200683594,-73.26270294189453,13755217,692787
19826,832334,79,4.331017971038818,27882.322265625,38711.08984375,53915.7734375,-234.2985076904297,286.4510803222656,-73.50982666015625,13755218,686087
19826,832334,78,4.2367730140686035,27946.361328125,38633.49609375,53937.1953125,-230.9854278564453,278.7606201171875,-73.78162384033203,13755219,681736
19826,832334,77,4.170590400695801,28009.40234375,38558.8203125,53957.8203125,-227.68356323242188,271.1839599609375,-74.17211151123047,13755220,676569
19826,832334,76,4.042989253997803,28071.658203125,38486.98828125,53978.67578125,-224.21954345703125,264.0340576171875,-73.71453857421875,13755221,671044
19826,832334,75,4.066285610198975,28130.587890625,38417.09765625,53998.55078125,-221.05795288085938,256.46856689453125,-73.8005142211914,13755222,657865
19826,832334,74,3.947685718536377,28188.34375,38350.2109375,54018.61328125,-218.00404357910156,248.567138671875,-72.20195770263672,13755223,648954
19826,832334,73,3.8968570232391357,28256.9609375,38271.6171875,54042.58203125,-214.00790405273438,240.1474151611328,-71.13618469238281,13755224,642772
19826,832334,72,3.817966938018799,28312.779296875,38210.328125,54059.72265625,-211.5144500732422,232.6781005859375,-69.59473419189453,13755225,633342
19826,832334,71,3.8158490657806396,28378.57421875,38140.5859375,54079.6640625,-207.65142822265625,224.27354431152344,-68.59901428222656,13755226,619567
19826,832334,70,3.68930721282959,28441.587890625,38070.99609375,54101.1171875,-203.93731689453125,217.4639129638672,-67.9198226928711,13755227,610509
19826,832334,69,3.6908955574035645,28502.912109375,38006.87109375,54121.6171875,-200.6709747314453,210.92498779296875,-67.51988983154297,13755228,595419
19826,832334,68,3.6061811447143555,28572.51953125,37934.91796875,54146.12890625,-197.4676513671875,203.62924194335938,-66.89385223388672,13755229,578284
19826,832334,67,3.545292854309082,28641.50390625,37860.14453125,54171.30859375,-194.01541137695312,196.25057983398438,-66.25645446777344,13755230,559791
19826,832334,66,3.5304677486419678,28708.29296875,37790.33203125,54195.0703125,-191.23428344726562,189.9665985107422,-64.80278778076172,13755231,536184
19826,832334,65,3.327153444290161,28774.177734375,37727.5078125,54216.8046875,-187.86294555664062,183.33250427246094,-63.42821502685547,13755232,520108
19826,832334,64,3.285855293273926,28844.65625,37657.80078125,54239.27734375,-183.7127685546875,176.2077178955078,-62.24342346191406,13755233,496360
19826,832334,63,3.159313440322876,28913.08203125,37592.62890625,54264.30078125,-179.13987731933594,170.7177276611328,-61.254554748535156,13755234,475626
19826,832334,62,2.988825798034668,28982.69140625,37527.98046875,54288.84375,-173.4443359375,163.69895935058594,-58.79108428955078,13755235,447700
19826,832334,61,2.9056999683380127,29051.291015625,37467.16796875,54317.03515625,-169.0197296142578,156.7264404296875,-58.52675247192383,13755236,421308
19826,832334,60,2.8363401889801025,29095.8203125,37428.515625,54333.98046875,-166.37985229492188,151.8114776611328,-57.70848083496094,13755237,400944
19826,832334,59,2.7828643321990967,29126.103515625,37401.0859375,54343.55859375,-164.88084411621094,149.0938720703125,-58.3585090637207,13755238,390595
19826,832334,58,2.542487382888794,29198.21484375,37336.765625,54368.8828125,-161.0232391357422,144.59632873535156,-56.677040100097656,13755239,365749
19826,832334,57,2.4180634021759033,29268.427734375,37268.296875,54389.4375,-156.7490997314453,139.39016723632812,-53.79776382446289,13755240,333528
19826,832334,56,2.199394702911377,29331.595703125,37205.984375,54402.33984375,-152.8312530517578,134.3885955810547,-49.259220123291016,13755241,305154
19826,832334,55,1.9410160779953003,29390.740234375,37151.42578125,54415.75,-147.86366271972656,127.99602508544922,-44.08735275268555,13755242,281066
