Group Number,Subhalo ID,Redshift,Mass at z=0,Max Mass,Max Mass Snap,Redshift at Max Mass,Rvir at z=0,Rvir at Max Mass,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,Escape Speed z=0,Escape Speed Max Mass,AM Stellar Mass
5783.0,616999.0,0.50305,0.64453249797225,1.2838004834272645,71.0,1.7436,43.52455935514821,50.81331958362645,41334.5078125,17708.232421875,64028.3359375,-29.66903114318848,-25.22392272949219,-91.3373565673828,175.28410195732195,181.72484270943855,0.0006167725751435942
5784.0,617018.0,0.50305,2.2299171171405097,7.978815924037588,82.0,1.1142,65.8287613639703,95.36826760257212,59491.15234375,8772.87890625,66598.5078125,-90.33191680908205,87.04622650146484,-186.88758850097656,215.33950821898148,225.71155595441667,0.020184518664024032
5785.0,617049.0,0.50305,0.5971514619886875,0.8536107330159708,88.0,0.9229999999999999,42.43077292692188,45.795483291463434,70680.421875,57931.15625,46561.4140625,-21.286216735839844,40.55413436889648,104.83367156982422,197.6530283698407,204.9238223113505,0.0002581780931478599
5786.0,617065.0,0.50305,2.9090453277934682,3.43550132079558,89.0,0.8869,71.92882057266331,73.03476772351,15773.712890625,64715.3515625,71629.1171875,-42.93701934814453,-280.89004516601557,377.2887878417969,164.88769761731322,170.00034141441753,0.004086497797562931
5787.0,617086.0,0.50305,5.956472998315637,6.324240429834886,99.0,0.59854,91.33751020075331,92.01714427500755,1514.2513427734375,17906.412109375,57831.078125,151.66494750976562,18.115997314453125,-18.39072036743164,148.23841504560002,152.64843449469967,0.015595646675113588
5788.0,617115.0,0.50305,1.0483994741331448,1.4763328839432108,88.0,0.9229999999999999,51.187239376678235,54.97063941492693,62117.53515625,8783.0703125,12431.6162109375,-169.41534423828125,242.62985229492188,131.729248046875,178.49231073388893,184.8136789722668,0.0007635040515996947
5789.0,617126.0,0.50305,0.3594941967590289,0.6174576384100048,92.0,0.7910699999999999,35.827519226969024,41.536021024384816,25412.30078125,45749.9140625,7383.6142578125,-200.13601684570312,-68.42751312255861,89.30123901367188,204.01668734475257,211.75164208443002,0.00013244816367160425
5790.0,617148.0,0.50305,0.7257571613246745,1.8027357079766009,96.0,0.67611,45.281056681013496,60.02755591122863,8789.6064453125,9190.248046875,18879.1953125,184.0406036376953,143.25653076171875,246.4378204345703,222.12032619032132,231.40123944373985,0.0011565528518511171
5791.0,617162.0,0.50305,0.30158405107530684,1.0130517184734344,61.0,2.8958,33.790055098263906,46.3840765079935,35602.7890625,45309.40625,27867.6640625,-91.40270233154295,64.93260955810547,177.54058837890625,178.91848801430334,190.89440321673172,0.00044276908163965877
5792.0,617173.0,0.50305,2.3434810679067266,2.7947290377183394,96.0,0.67611,66.92780668969611,69.47361159576381,41187.83984375,62783.0546875,35803.26171875,-11.78027057647705,168.8252716064453,411.9546508789063,150.20605733125402,159.00169585194323,0.002830316525804557
5793.0,617193.0,0.50305,3.792739049954848,5.5165063928474085,95.0,0.70011,78.5785054081766,86.93132178770608,56615.078125,37526.51171875,15754.7900390625,80.72647094726562,-218.57716369628903,130.27987670898438,187.17872390827478,193.9264124024708,0.011197160972035543
5794.0,617213.0,0.50305,1.271015117791566,4.6546228907325045,82.0,1.1142,54.580354043418424,79.68671282312762,68826.453125,14242.1396484375,29042.478515625,223.64083862304688,377.1382141113281,131.83131408691406,229.49221930083516,239.66156069331035,0.007115391940998906
5795.0,617235.0,0.50305,0.3640067086301067,1.2928254225037314,81.0,1.1546,35.976803349200104,51.888375297048256,10060.6826171875,28616.4375,69088.1640625,-197.09832763671875,157.03155517578125,114.89806365966795,210.2121305201757,218.85283601106616,0.0005950461989881574
5796.0,617252.0,0.50305,0.4407188601114533,0.7235009053891356,78.0,1.3024,38.344815732293036,42.49091081258987,11652.8857421875,71541.2265625,8482.2734375,181.4750061035156,155.1789093017578,-141.10302734375,177.77620085303232,183.5879080651836,0.0001987632525118763
5797.0,617263.0,0.50305,0.23164062506773256,0.3429484468969432,92.0,0.7910699999999999,30.94503791321342,34.14277228689573,21250.11328125,21705.93359375,27936.0703125,-177.48995971679688,-302.5449523925781,124.13005828857422,203.81254935078542,211.41400203371904,4.059353915697018e-05
5798.0,617281.0,0.50305,2.3577706041661166,3.2031085680831564,96.0,0.67611,67.06356342829291,72.70492993568841,21486.73828125,68309.1171875,27804.640625,214.0294952392578,54.509666442871094,-49.36844253540039,155.71741626110165,160.37510924400132,0.003738384466953524
5799.0,617301.0,0.50305,0.8919668299230663,1.689923588525165,93.0,0.75744,48.503045769341604,58.276211620527896,62029.2578125,26081.220703125,8992.8046875,177.79209899902344,-143.45889282226562,190.7413482666016,196.43998750325264,203.50834160942705,0.0010053940730784655
5800.0,617316.0,0.50305,2.470582554286177,24.951005523855038,96.0,0.67611,68.11653792718204,144.1238952491417,49166.87890625,40472.87890625,68412.5078125,-234.0601348876953,-167.26699829101562,158.8523406982422,227.9282551587291,238.06806777712185,0.23346930193338994
5801.0,617331.0,0.50305,0.30985694717277185,0.3670150075446476,101.0,0.5463899999999999,34.096242588066694,35.86165317160657,37196.43359375,47673.44921875,24552.19921875,7.477104663848878,0.07275742292404175,70.67341613769531,182.32088826785628,188.9246260959105,4.298814528921527e-05
5802.0,617352.0,0.50305,0.20682197910818187,0.2880466212941842,73.0,1.6042,29.797855259155018,30.97198648975639,42316.5859375,12425.681640625,8389.7333984375,-36.07929229736328,29.23091125488281,-11.920429229736328,179.8976082490056,185.81255159586166,3.741897634856397e-05
5803.0,617373.0,0.50305,1.91178714687174,2.35325809229504,79.0,1.2485,62.53636333765755,63.09083349536365,51466.765625,62047.609375,51203.328125,23.945837020874023,188.454833984375,-283.80279541015625,165.60231957765592,171.0166698915652,0.0018888853731379536
5804.0,617394.0,0.50305,6.910110739144412,9.710103950717233,93.0,0.75744,95.97271454935787,104.3783070923962,47709.5234375,34006.52734375,26934.85546875,185.41102600097656,-163.2247772216797,288.5450439453125,88.90019457963672,105.94200912980253,0.03403326144308611
5805.0,617422.0,0.50305,3.1624961305748336,3.6227689547972246,99.0,0.59854,73.95986515278581,76.42102164754775,49193.97265625,66773.6484375,23515.599609375,147.6814422607422,-326.3848876953125,28.76049423217773,145.12736384406557,152.24237661750274,0.004949498656038035
