Group Number,Subhalo ID,Mass at z=0,Max Mass,Max Mass Snap,Redshift,Rvir at z=0,Rvir at Max Mass,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,AM Stellar Mass,Escape Speed z=0,Escape Speed Max Mass
7853.0,738474.0,0.18952414393424988,0.5535308525643565,96.0,0.67611,32.194834568046105,40.4967885743695,45462.10546875,38931.51953125,57042.09765625,-227.58921813964844,-47.90550231933594,-32.86172103881836,0.0001037178531971143,206.74823571391784,206.74823571391784
7854.0,738481.0,7.180107588117774,7.180107588117774,135.0,0.0,108.12887069858046,108.12887069858046,21627.029296875,73132.953125,59726.08203125,152.22964477539062,-39.634544372558594,28.5084285736084,0.04761305806447036,190.014084309859,193.77521518821382
7855.0,738499.0,0.13010982762683526,0.3399401268159801,71.0,1.7436,28.40107097262556,32.62965888216432,59600.6953125,58502.31640625,48686.484375,103.154541015625,177.06492614746094,-23.82654190063477,5.2717597796246224e-05,220.80056274669906,220.80056274669906
7856.0,738513.0,0.3625025380064141,0.7663694295016202,94.0,0.73264,39.96394633699494,44.877911316165104,61963.6328125,41744.50390625,22185.169921875,112.72887420654295,-106.75881958007812,217.4135589599609,0.0002029439825943741,204.25134334071615,204.25134334071615
7857.0,738522.0,0.1947886987843297,0.2263760702176528,120.0,0.19728,32.49021626087257,32.476321504347766,73025.453125,37365.74609375,22040.53125,194.77496337890625,-180.7622528076172,54.88689422607422,1.3555392292480008e-05,235.38886951958773,235.38886951958773
7858.0,738531.0,0.4204126836901362,0.5159268409691073,127.0,0.099401,41.98781612301071,43.763039615851056,72709.609375,15044.849609375,28117.904296875,-215.67938232421875,-61.79029083251953,-527.0142211914061,8.843077025991278e-05,174.4472571882894,179.76258465079678
7860.0,738546.0,0.6858968937938864,1.0649451816623865,89.0,0.8869,49.42928123490451,49.42826466141407,18767.486328125,39675.8125,34044.58203125,-182.9873504638672,28.56955146789551,265.78726196289057,0.0003988556488433338,189.3592852375091,189.4101657059895
7861.0,738559.0,0.1225890274244276,0.1406389479102059,102.0,0.52457,27.842948010291625,26.124520912332716,35042.80859375,39667.6953125,35740.88671875,-293.86151123046875,-64.42731475830078,275.86138916015625,5.742216031789082e-06,203.0017889969799,203.0017889969799
7862.0,738576.0,0.3361797425895929,0.9957538409666582,105.0,0.46092,38.972224596477425,50.62904933971055,62901.00390625,25458.451171875,11437.6611328125,403.2681884765625,-146.6468048095703,145.9296417236328,0.00034615962941521853,197.63933347854484,197.63933347854484
7863.0,738592.0,0.3888253545896574,0.4504958844997666,131.0,0.048524,40.90874994108703,42.3934262944286,58357.99609375,3649.973876953125,22145.23828125,-16.577783584594727,-46.342063903808594,131.37712097167972,6.626261013702697e-05,172.47272434650924,172.47272434650924
7864.0,738613.0,1.6560800034891476,2.5758738206191496,107.0,0.41997,66.31194824986542,69.95133906856327,21887.919921875,17386.15234375,44124.31640625,-174.31503295898438,193.73336791992188,142.75376892089844,0.002635782692721361,212.2192201084567,212.2192201084567
7865.0,738646.0,0.2880466212941842,0.4580166952853854,80.0,1.2063,37.01566974849647,36.62847049633089,2590.176025390625,28217.833984375,10545.40234375,112.2299575805664,199.9178924560547,522.1502685546875,8.110467211900207e-05,186.81227487233284,186.81227487233284
7866.0,738653.0,1.2499568983912468,2.9128055003556335,127.0,0.099401,60.37581818919258,77.92591910876409,73307.109375,38565.70703125,19443.078125,193.66102600097656,-360.493896484375,-33.689830780029304,0.004730020814730062,211.80134160740752,211.80134160740752
7867.0,738667.0,1.9290850243785165,2.16749445958571,124.0,0.14188,69.77210191320005,69.86833157403967,15107.279296875,13983.1064453125,59945.9140625,-9.929872512817383,81.6667709350586,189.97640991210938,0.002268595851380057,179.62825153585808,179.62825153585808
7868.0,738674.0,3.6686459048227835,4.083794287659906,132.0,0.033724000000000004,86.4436869571789,88.7511118946361,49691.9921875,54634.85546875,27694.92578125,82.05191802978516,117.88818359375,129.48016357421878,0.011743384194823115,198.25429931276878,198.32890596263013
7869.0,738690.0,0.37904828786849976,1.2168653986670754,87.0,0.95053,40.5629497701644,51.44379493788576,42873.04296875,2816.6962890625,72697.7734375,-438.7943420410156,-283.5651550292969,-326.0979309082031,0.0005216145685965609,224.1284453158224,224.2718367984732
7870.0,738703.0,0.4557604393498465,1.4184228229251776,112.0,0.32883,43.13305557800421,58.25942299901226,48660.671875,13577.287109375,48909.6015625,151.73245239257812,-73.40789031982422,-209.5752258300781,0.0007644493319765839,232.2032389035113,232.2032389035113
7871.0,738713.0,0.7242529907009819,0.9581498293714092,129.0,0.073662,50.33400049213833,54.153921978603954,29375.078125,38914.078125,19516.388671875,-22.86379432678223,-57.49043273925781,38.9122200012207,0.00037641181872490926,177.07760545976225,177.07760545976225
7872.0,738731.0,2.8556476939808237,6.616799668832259,123.0,0.15275,79.51814230057961,101.08795185480845,56798.41796875,3564.14794921875,58388.73828125,71.33023071289062,-81.80955505371094,-221.5858154296875,0.027691098557504432,181.7810078654635,181.7810078654635
7873.0,738747.0,0.3527254924516787,0.4113877446136692,132.0,0.033724000000000004,39.60137810983094,41.295522630288986,68996.1171875,64703.703125,55995.984375,-178.22064208984375,-393.2165832519531,-361.4113464355469,5.400976105989909e-05,187.3969667274705,187.3969667274705
7876.0,738787.0,0.5873744376003742,0.7505758072842251,108.0,0.39993,46.93927355069207,46.52946825260935,5415.67138671875,90.40196990966795,23649.59765625,69.00614929199219,299.9872131347656,-8.676850318908691,0.0001906772243030364,194.73873889296547,194.73873889296547
7877.0,738803.0,0.5640599622645162,0.9115208786996928,123.0,0.15275,46.30982159928485,52.20822670316576,14728.064453125,43296.51953125,30723.302734375,-153.3422088623047,-377.65142822265625,251.5484771728516,0.000314853015266727,205.60737558260863,205.60737558260863
7878.0,738814.0,0.9754477068781854,1.976466145027768,78.0,1.3024,55.586075629821536,59.39904657307274,5959.25927734375,35367.81640625,44744.49609375,256.537109375,30.20749664306641,129.23023986816406,0.0013528700781611882,225.08537358858712,225.08537358858712
7879.0,738823.0,2.1035676314072176,4.622283306988803,99.0,0.59854,71.81527752480288,82.88669321748017,63125.21484375,34054.3828125,2369.3955078125,295.4510803222656,-12.636978149414062,-30.532855987548828,0.008179562246930446,211.02237925243352,211.02237925243352
7880.0,738839.0,5.144226957451213,8.859501643614337,132.0,0.033724000000000004,96.75454840880549,114.89177735503272,74077.6953125,55650.3046875,42172.3359375,284.006103515625,142.78936767578125,76.03809356689453,0.06995506088386558,189.59710810260768,189.59710810260768
7881.0,738858.0,1.1025491932576357,1.7034611241383988,106.0,0.4403,57.90250355198437,60.74573652123783,26158.3125,31190.458984375,55866.54296875,-189.6572570800781,115.53623962402344,-311.4303894042969,0.0010846591947770883,192.6016615078509,192.6253811880883
7883.0,738887.0,2.347993579777804,13.293764807961203,123.0,0.15275,74.49554784026306,127.55556154821228,48967.15234375,3873.677490234375,1613.9864501953125,-290.2544250488281,85.3592300415039,-1.954902410507202,0.128702099104515,196.92490890747067,197.28008410821442
7884.0,738898.0,0.11506822722201998,0.1406389479102059,110.0,0.36069,27.261504760999355,26.807651056769505,18696.185546875,47261.25,73187.15625,-215.2034149169922,-154.38751220703125,-332.2059020996094,5.162731383841363e-06,234.92655658345032,234.92655658345032
7885.0,738905.0,0.5655641328882087,1.4394809576598082,86.0,0.98785,46.350949641757936,54.27557372086011,40607.58984375,25277.166015625,67856.0234375,72.04368591308594,-0.2574821412563324,-15.845763206481935,0.0007273068806731332,230.28170746749265,230.61516375995907
7886.0,738912.0,0.14891183342445982,0.2474343107843941,92.0,0.7910699999999999,29.708068744349603,30.622629171574033,29734.234375,23917.052734375,25332.0859375,-254.36871337890625,-176.21644592285156,109.2925796508789,2.105425241723485e-05,211.8653421898236,211.8653421898236
7887.0,738929.0,0.2835341305895285,0.5226955664428798,89.0,0.8869,36.821357715705645,38.98963933898983,36997.6328125,9117.2626953125,40796.84375,-28.10851860046387,-115.17390441894531,-153.78335571289062,9.693992248472892e-05,197.98604636199497,197.98604636199497
7889.0,738940.0,0.233144774525003,0.3677670928564939,101.0,0.5463899999999999,34.49635792352642,35.886132298289205,51549.9375,69831.5,42038.640625,68.54824829101561,731.445068359375,116.7615203857422,4.317193804710035e-05,222.9632364114654,223.001149464025
7890.0,738948.0,1.6688653691248458,2.054682340134274,100.0,0.57598,66.48215943321999,63.434382687794454,5437.97216796875,54096.21875,28386.44921875,134.85774230957028,-117.48356628417969,215.531005859375,0.0015437363303052595,203.87144780535826,203.87144780535826
7891.0,738979.0,0.3271547823467038,0.5136705850335685,112.0,0.32883,38.620311677623135,41.526548992623574,39720.671875,72481.171875,40621.5234375,322.1672668457031,-306.759521484375,-73.74492645263672,8.426149897654242e-05,211.6016552151912,211.6016552151912
